evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0191,metadata,.reference-local/capture-meta.json,2e85c6d116f9ea98c1b4ffa126b88d1c54670f785e15269596250e94aceab899,2026-07-18T18:54:39.0629549Z,"capture metadata",pass,captured
EV-0001,screenshot,.reference-local/screenshots/EV-0001.png,94855089196847cbfe65b58a7c029fe9aff9fd33ba29a47eee7d704ed24caab7,2026-07-18T18:14:14.4912916Z,"raw screenshot capture",pass,captured
EV-0002,ui_dump,.reference-local/ui-dumps/EV-0002.xml,e55233eed3dcc1c9b772f48621b61c43b9163b859e4907f117bd89a6f7675892,2026-07-18T18:14:17.9946198Z,"raw UI dump capture",pass,captured
EV-0003,screenshot,.reference-local/screenshots/EV-0003.png,5646db2dbe39c28eb4df12ea60117dc75c56e4f6fe27abb30cea956031abc2b7,2026-07-18T18:15:23.1922238Z,"raw screenshot capture",pass,captured
EV-0004,ui_dump,.reference-local/ui-dumps/EV-0004.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:15:25.6047089Z,"raw UI dump capture",pass,captured
EV-0005,screenshot,.reference-local/screenshots/EV-0005.png,2d21676b73598aebab8e21935e3da4047c3c5b3a4e2d2e9975d2ee73d4b9c291,2026-07-18T18:15:51.0002512Z,"raw screenshot capture",pass,captured
EV-0006,ui_dump,.reference-local/ui-dumps/EV-0006.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:15:53.4348275Z,"raw UI dump capture",pass,captured
EV-0007,screenshot,.reference-local/screenshots/EV-0007.png,61ef661422212974cea0859a4e7779648bcfce11c8e7275384109d419f3e2fec,2026-07-18T18:15:56.4814946Z,"raw screenshot capture",pass,captured
EV-0008,ui_dump,.reference-local/ui-dumps/EV-0008.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:15:59.0344653Z,"raw UI dump capture",pass,captured
EV-0009,screenshot,.reference-local/screenshots/EV-0009.png,7016368cc1f42376822c4f397d16c739ab2ec0e83553293e5f4e6d2e4a71dc9a,2026-07-18T18:16:26.5014501Z,"raw screenshot capture",pass,captured
EV-0010,ui_dump,.reference-local/ui-dumps/EV-0010.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:16:28.9831627Z,"raw UI dump capture",pass,captured
EV-0011,screenshot,.reference-local/screenshots/EV-0011.png,61ef661422212974cea0859a4e7779648bcfce11c8e7275384109d419f3e2fec,2026-07-18T18:16:31.9677609Z,"raw screenshot capture",pass,captured
EV-0012,ui_dump,.reference-local/ui-dumps/EV-0012.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:16:34.4970395Z,"raw UI dump capture",pass,captured
EV-0013,screenshot,.reference-local/screenshots/EV-0013.png,3a330b1d4167a536e22f8436122b1e833a37195342282e06f25b19f1d1e0b822,2026-07-18T18:16:58.4927679Z,"raw screenshot capture",pass,captured
EV-0014,ui_dump,.reference-local/ui-dumps/EV-0014.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:17:00.8794036Z,"raw UI dump capture",pass,captured
