reference_state_id,mysd_state_id,setup_fixture,reference_evidence_ids,requirements,acceptance_ids,deviation_ids,status
ST-0001,ROUTE-LAUNCH,fixture_clean_launch,EV-0233,FR-100,AC-100,DEV-001;DEV-002;DEV-004,accepted
ST-0002,BATTLE-SETUP,fixture_level_1_setup,EV-0003;EV-0017;EV-0115,FR-101,AC-101,DEV-001;DEV-002;DEV-004;DEV-005,accepted
ST-0003,BATTLE-ACTIVE,fixture_early_wave,EV-0243,FR-102,AC-101,DEV-001;DEV-002;DEV-003;DEV-004;DEV-005;DEV-009,accepted_visual_fit_deferred
ST-0004,BATTLE-ENHANCEMENT,fixture_enhancement_choice,EV-0041,FR-103,AC-102,DEV-001;DEV-002;DEV-004;DEV-005,accepted_visual_fit_deferred
ST-0005,BATTLE-VICTORY,fixture_safe_victory,EV-0097;EV-0099,FR-104;FR-106,AC-102;AC-104,DEV-001;DEV-002;DEV-004;DEV-006;DEV-007,accepted_visual_fit_deferred
ST-0006,ROUTE-CAMPAIGN,fixture_campaign_selection,EV-0196;EV-0200,FR-100,AC-100,DEV-001;DEV-002;DEV-004;DEV-005,accepted
ST-0007,ROUTE-TROOPS,fixture_roster,EV-0204;EV-0208,FR-105,AC-103,DEV-001;DEV-002;DEV-004;DEV-009,accepted
ST-0008,OVERLAY-SETTINGS,fixture_settings,EV-0206,FR-105,AC-103,DEV-002;DEV-004;DEV-009,accepted
ST-0009,ROUTE-SHOP,fixture_product_shop,EV-0200,FR-114,AC-109,DEV-001;DEV-002;DEV-006;DEV-007;DEV-010,accepted_human_decision
ST-0010,ROUTE-TECH,fixture_product_tech,EV-0202,FR-113,AC-108,DEV-001;DEV-002;DEV-010,accepted_human_decision
ST-0011,ROUTE-ARENA-LOCAL,fixture_arena_local_adapter,EV-0149,FR-107,AC-104,DEV-006;DEV-008,accepted_service_adapter
ST-0012,OVERLAY-RESUME,fixture_unfinished_run,EV-0189,FR-100,AC-100,DEV-001;DEV-002;DEV-004,accepted
ST-0013,EXTERNAL-EXIT-EXCLUDED,fixture_system_back_external,EV-0125,,,DEV-001;DEV-002,excluded
